livraison_id	commande_fk	livreur_fk	statut	date_depart	date_arrivee
7	7	LIV005	annulee	2025-01-16 01:31:40	2025-01-16 01:37:40
8	8	LIV004	livree	2025-01-16 05:36:34	2025-01-16 05:49:34
11	11	LIV006	livree	2025-01-16 17:47:50	2025-01-16 17:59:50
16	16	LIV001	livree	2025-01-17 00:11:54	2025-01-17 00:21:54
19	19	LIV003	livree	2025-01-17 06:06:04	2025-01-17 06:21:04
21	21	LIV001	annulee	2025-01-17 14:49:33	2025-01-17 14:55:33
22	22	LIV003	livree	2025-01-17 15:26:34	2025-01-17 15:36:34
27	27	LIV003	livree	2025-01-18 12:18:31	2025-01-18 12:36:31
28	28	LIV005	livree	2025-01-18 12:53:41	2025-01-18 13:03:41
29	29	LIV004	livree	2025-01-18 17:26:49	2025-01-18 17:40:49
30	30	LIV002	livree	2025-01-18 19:46:32	2025-01-18 19:59:32
31	31	LIV003	livree	2025-01-19 00:56:29	2025-01-19 01:14:29
35	35	LIV005	livree	2025-01-19 04:47:11	2025-01-19 05:04:11
37	37	LIV006	livree	2025-01-19 06:42:29	2025-01-19 06:54:29
41	41	LIV003	livree	2025-01-19 11:38:10	2025-01-19 11:55:10
42	42	LIV006	livree	2025-01-19 13:59:55	2025-01-19 14:11:55
44	44	LIV002	livree	2025-01-19 14:13:40	2025-01-19 14:28:40
45	45	LIV002	livree	2025-01-19 15:02:27	2025-01-19 15:17:27
48	48	LIV001	livree	2025-01-19 19:43:48	2025-01-19 19:53:48
49	49	LIV006	livree	2025-01-19 21:51:44	2025-01-19 22:02:44
51	51	LIV005	annulee	2025-01-20 00:06:09	2025-01-20 00:11:09
52	52	LIV003	livree	2025-01-20 02:21:16	2025-01-20 02:29:16
55	55	LIV006	livree	2025-01-20 06:13:05	2025-01-20 06:21:05
56	56	LIV006	livree	2025-01-20 09:43:59	2025-01-20 09:51:59
57	57	LIV001	livree	2025-01-20 10:30:29	2025-01-20 10:43:29
58	58	LIV004	livree	2025-01-20 11:31:41	2025-01-20 11:42:41
59	59	LIV001	livree	2025-01-20 13:09:31	2025-01-20 13:18:31
62	62	LIV006	livree	2025-01-20 16:00:54	2025-01-20 16:17:54
64	64	LIV006	livree	2025-01-20 18:39:28	2025-01-20 18:47:28
65	65	LIV001	livree	2025-01-21 00:00:20	2025-01-21 00:18:20
68	68	LIV002	livree	2025-01-21 01:17:02	2025-01-21 01:33:02
71	71	LIV002	livree	2025-01-21 04:31:07	2025-01-21 04:49:07
74	74	LIV005	livree	2025-01-22 01:01:24	2025-01-22 01:18:24
75	75	LIV001	livree	2025-01-22 01:53:47	2025-01-22 02:04:47
81	81	LIV006	livree	2025-01-22 06:38:26	2025-01-22 06:46:26
82	82	LIV002	livree	2025-01-22 07:51:40	2025-01-22 08:07:40
84	84	LIV006	annulee	2025-01-22 11:09:43	2025-01-22 11:23:43
85	85	LIV005	livree	2025-01-22 13:12:35	2025-01-22 13:28:35
87	87	LIV002	livree	2025-01-22 22:57:23	2025-01-22 23:15:23
89	89	LIV002	livree	2025-01-22 22:59:44	2025-01-22 23:08:44
94	94	LIV001	livree	2025-01-23 13:34:44	2025-01-23 13:49:44
95	95	LIV003	livree	2025-01-23 14:03:38	2025-01-23 14:18:38
97	97	LIV002	livree	2025-01-23 16:47:01	2025-01-23 17:01:01
103	103	LIV001	livree	2025-01-24 02:12:44	2025-01-24 02:22:44
104	104	LIV006	livree	2025-01-24 04:16:47	2025-01-24 04:31:47
105	105	LIV005	annulee	2025-01-24 04:47:49	2025-01-24 05:01:49
106	106	LIV004	livree	2025-01-24 08:25:44	2025-01-24 08:40:44
108	108	LIV001	livree	2025-01-24 11:34:00	2025-01-24 11:44:00
113	113	LIV006	livree	2025-01-24 13:30:38	2025-01-24 13:45:38
115	115	LIV005	livree	2025-01-24 23:02:48	2025-01-24 23:11:48
116	116	LIV002	livree	2025-01-25 00:48:29	2025-01-25 00:56:29
119	119	LIV005	livree	2025-01-25 05:23:32	2025-01-25 05:36:32
122	122	LIV003	livree	2025-01-25 12:43:24	2025-01-25 12:51:24
130	130	LIV002	livree	2025-01-26 10:22:33	2025-01-26 10:36:33
131	131	LIV006	livree	2025-01-26 13:12:01	2025-01-26 13:30:01
137	137	LIV002	livree	2025-01-27 05:12:30	2025-01-27 05:22:30
139	139	LIV002	livree	2025-01-27 06:09:55	2025-01-27 06:17:55
144	144	LIV005	livree	2025-01-27 12:35:36	2025-01-27 12:43:36
145	145	LIV005	livree	2025-01-27 16:37:05	2025-01-27 16:47:05
146	146	LIV002	livree	2025-01-27 17:42:43	2025-01-27 17:55:43
147	147	LIV005	livree	2025-01-28 00:38:07	2025-01-28 00:47:07
150	150	LIV002	livree	2025-01-28 12:06:59	2025-01-28 12:23:59
151	151	LIV003	livree	2025-01-28 12:43:47	2025-01-28 12:52:47
155	155	LIV001	livree	2025-01-28 19:36:36	2025-01-28 19:49:36
156	156	LIV002	livree	2025-01-28 20:54:07	2025-01-28 21:10:07
158	158	LIV001	livree	2025-01-29 01:57:24	2025-01-29 02:14:24
159	159	LIV004	livree	2025-01-29 01:51:29	2025-01-29 02:02:29
160	160	LIV003	livree	2025-01-29 11:39:31	2025-01-29 11:53:31
162	162	LIV001	livree	2025-01-29 14:40:31	2025-01-29 14:56:31
163	163	LIV002	livree	2025-01-29 14:46:42	2025-01-29 14:54:42
165	165	LIV005	annulee	2025-01-29 15:30:33	2025-01-29 15:45:33
167	167	LIV003	livree	2025-01-29 19:25:12	2025-01-29 19:35:12
168	168	LIV003	livree	2025-01-29 21:43:54	2025-01-29 21:55:54
170	170	LIV002	livree	2025-01-30 00:26:12	2025-01-30 00:42:12
171	171	LIV002	livree	2025-01-30 00:48:44	2025-01-30 01:06:44
172	172	LIV005	livree	2025-01-30 01:11:58	2025-01-30 01:20:58
182	182	LIV001	livree	2025-01-30 17:26:00	2025-01-30 17:34:00
183	183	LIV004	annulee	2025-01-30 17:29:04	2025-01-30 17:41:04
189	189	LIV001	livree	2025-01-31 05:20:19	2025-01-31 05:32:19
192	192	LIV003	livree	2025-01-31 07:32:22	2025-01-31 07:47:22
193	193	LIV003	livree	2025-01-31 11:07:38	2025-01-31 11:25:38
194	194	LIV001	livree	2025-01-31 12:59:51	2025-01-31 13:08:51
200	200	LIV006	livree	2025-02-01 00:09:09	2025-02-01 00:19:09
201	201	LIV001	livree	2025-02-01 02:53:05	2025-02-01 03:08:05
203	203	LIV006	livree	2025-02-01 05:19:58	2025-02-01 05:32:58
204	204	LIV003	livree	2025-02-01 06:08:19	2025-02-01 06:17:19
211	211	LIV003	livree	2025-02-01 17:52:00	2025-02-01 18:01:00
216	216	LIV001	livree	2025-02-02 00:07:27	2025-02-02 00:20:27
218	218	LIV006	livree	2025-02-02 05:33:47	2025-02-02 05:46:47
221	221	LIV006	livree	2025-02-02 16:46:14	2025-02-02 16:58:14
222	222	LIV003	livree	2025-02-02 17:31:10	2025-02-02 17:39:10
223	223	LIV004	livree	2025-02-02 18:25:34	2025-02-02 18:38:34
229	229	LIV001	livree	2025-02-02 22:48:05	2025-02-02 23:04:05
232	232	LIV001	livree	2025-02-03 02:35:38	2025-02-03 02:45:38
234	234	LIV006	livree	2025-02-03 07:01:09	2025-02-03 07:16:09
235	235	LIV001	livree	2025-02-03 07:49:33	2025-02-03 08:00:33
237	237	LIV004	livree	2025-02-03 08:24:35	2025-02-03 08:33:35
243	243	LIV005	livree	2025-02-03 16:03:12	2025-02-03 16:18:12
246	246	LIV002	livree	2025-02-03 19:13:57	2025-02-03 19:30:57
249	249	LIV002	livree	2025-02-03 22:23:18	2025-02-03 22:32:18
250	250	LIV004	livree	2025-02-04 03:08:52	2025-02-04 03:24:52
251	251	LIV001	livree	2025-02-04 03:22:00	2025-02-04 03:36:00
258	258	LIV003	livree	2025-02-04 18:32:01	2025-02-04 18:48:01
259	259	LIV002	livree	2025-02-04 18:40:20	2025-02-04 18:51:20
262	262	LIV006	livree	2025-02-05 00:08:47	2025-02-05 00:17:47
263	263	LIV005	livree	2025-02-05 03:58:22	2025-02-05 04:07:22
267	267	LIV006	livree	2025-02-05 09:20:39	2025-02-05 09:30:39
268	268	LIV004	livree	2025-02-05 10:18:21	2025-02-05 10:35:21
269	269	LIV001	livree	2025-02-05 10:52:23	2025-02-05 11:10:23
273	273	LIV005	livree	2025-02-05 17:48:01	2025-02-05 18:02:01
276	276	LIV003	livree	2025-02-06 00:31:29	2025-02-06 00:39:29
284	284	LIV003	livree	2025-02-06 10:19:21	2025-02-06 10:37:21
297	297	LIV003	livree	2025-02-07 21:41:08	2025-02-07 21:57:08
299	299	LIV005	livree	2025-02-07 23:21:13	2025-02-07 23:39:13
300	300	LIV006	livree	2025-02-07 23:56:37	2025-02-08 00:07:37
301	301	LIV004	livree	2025-02-08 02:16:42	2025-02-08 02:32:42
303	303	LIV003	livree	2025-02-08 05:42:24	2025-02-08 05:51:24
310	310	LIV006	livree	2025-02-08 13:00:06	2025-02-08 13:16:06
312	312	LIV003	livree	2025-02-08 17:44:38	2025-02-08 18:01:38
313	313	LIV004	livree	2025-02-08 18:28:05	2025-02-08 18:44:05
316	316	LIV001	livree	2025-02-09 01:35:47	2025-02-09 01:48:47
318	318	LIV006	livree	2025-02-09 06:34:14	2025-02-09 06:52:14
321	321	LIV002	livree	2025-02-09 15:49:35	2025-02-09 16:00:35
323	323	LIV005	livree	2025-02-09 18:32:34	2025-02-09 18:42:34
324	324	LIV006	livree	2025-02-10 02:14:57	2025-02-10 02:26:57
325	325	LIV004	livree	2025-02-10 02:43:00	2025-02-10 02:56:00
326	326	LIV006	livree	2025-02-10 09:44:59	2025-02-10 09:57:59
327	327	LIV006	livree	2025-02-10 12:45:15	2025-02-10 13:03:15
331	331	LIV001	livree	2025-02-10 17:06:03	2025-02-10 17:14:03
333	333	LIV003	livree	2025-02-10 20:39:33	2025-02-10 20:56:33
334	334	LIV002	livree	2025-02-10 22:57:14	2025-02-10 23:11:14
338	338	LIV001	livree	2025-02-11 07:39:08	2025-02-11 07:57:08
339	339	LIV001	livree	2025-02-11 08:55:46	2025-02-11 09:09:46
340	340	LIV004	livree	2025-02-11 09:30:08	2025-02-11 09:47:08
341	341	LIV003	livree	2025-02-11 09:56:12	2025-02-11 10:08:12
342	342	LIV003	livree	2025-02-11 12:16:04	2025-02-11 12:28:04
343	343	LIV004	livree	2025-02-11 13:24:34	2025-02-11 13:33:34
345	345	LIV005	livree	2025-02-11 15:36:16	2025-02-11 15:50:16
352	352	LIV005	livree	2025-02-11 22:38:14	2025-02-11 22:52:14
355	355	LIV005	livree	2025-02-12 05:40:55	2025-02-12 05:51:55
356	356	LIV004	livree	2025-02-12 08:56:51	2025-02-12 09:06:51
361	361	LIV001	livree	2025-02-12 17:39:48	2025-02-12 17:48:48
362	362	LIV004	livree	2025-02-12 22:00:38	2025-02-12 22:14:38
363	363	LIV005	livree	2025-02-12 23:17:36	2025-02-12 23:33:36
364	364	LIV006	livree	2025-02-12 23:10:47	2025-02-12 23:19:47
365	365	LIV006	livree	2025-02-13 01:05:25	2025-02-13 01:20:25
375	375	LIV004	livree	2025-02-13 10:54:17	2025-02-13 11:05:17
380	380	LIV006	livree	2025-02-14 03:29:33	2025-02-14 03:40:33
382	382	LIV004	livree	2025-02-14 06:25:17	2025-02-14 06:43:17
384	384	LIV005	livree	2025-02-14 07:17:34	2025-02-14 07:25:34
389	389	LIV003	livree	2025-02-14 13:48:34	2025-02-14 13:59:34
391	391	LIV005	livree	2025-02-15 01:06:26	2025-02-15 01:17:26
392	392	LIV006	livree	2025-02-15 04:35:05	2025-02-15 04:46:05
393	393	LIV006	livree	2025-02-15 05:05:23	2025-02-15 05:22:23
395	395	LIV005	livree	2025-02-15 06:08:24	2025-02-15 06:23:24
396	396	LIV002	livree	2025-02-15 07:47:47	2025-02-15 07:58:47
397	397	LIV005	livree	2025-02-15 09:06:55	2025-02-15 09:16:55
404	404	LIV001	livree	2025-02-15 19:55:58	2025-02-15 20:08:58
405	405	LIV001	livree	2025-02-15 21:03:34	2025-02-15 21:13:34
408	408	LIV006	livree	2025-02-16 01:44:46	2025-02-16 01:59:46
409	409	LIV006	livree	2025-02-16 04:10:53	2025-02-16 04:20:53
410	410	LIV002	livree	2025-02-16 04:55:26	2025-02-16 05:07:26
413	413	LIV004	livree	2025-02-16 10:04:10	2025-02-16 10:12:10
415	415	LIV006	livree	2025-02-16 13:09:18	2025-02-16 13:22:18
416	416	LIV002	livree	2025-02-16 17:43:28	2025-02-16 17:51:28
417	417	LIV004	livree	2025-02-17 00:37:25	2025-02-17 00:55:25
418	418	LIV001	livree	2025-02-17 02:18:54	2025-02-17 02:29:54
419	419	LIV005	livree	2025-02-17 03:16:32	2025-02-17 03:24:32
420	420	LIV004	livree	2025-02-17 04:05:16	2025-02-17 04:20:16
424	424	LIV004	livree	2025-02-17 10:55:22	2025-02-17 11:06:22
425	425	LIV002	livree	2025-02-17 11:19:06	2025-02-17 11:35:06
430	430	LIV002	livree	2025-02-17 17:41:03	2025-02-17 17:49:03
431	431	LIV006	livree	2025-02-17 20:33:13	2025-02-17 20:43:13
432	432	LIV006	annulee	2025-02-17 22:24:17	2025-02-17 22:35:17
435	435	LIV001	annulee	2025-02-18 01:40:25	2025-02-18 01:54:25
441	441	LIV004	livree	2025-02-18 07:00:16	2025-02-18 07:11:16
444	444	LIV003	annulee	2025-02-18 14:11:26	2025-02-18 14:22:26
449	449	LIV004	livree	2025-02-18 22:42:32	2025-02-18 22:50:32
450	450	LIV002	livree	2025-02-18 23:21:03	2025-02-18 23:36:03
454	454	LIV006	livree	2025-02-19 04:38:38	2025-02-19 04:50:38
455	455	LIV004	livree	2025-02-19 11:04:31	2025-02-19 11:12:31
458	458	LIV005	livree	2025-02-19 15:52:15	2025-02-19 16:03:15
461	461	LIV005	livree	2025-02-20 03:29:26	2025-02-20 03:40:26
468	468	LIV006	livree	2025-02-20 23:42:23	2025-02-20 23:52:23
472	472	LIV006	livree	2025-02-21 08:16:53	2025-02-21 08:27:53
474	474	LIV004	livree	2025-02-21 10:14:58	2025-02-21 10:27:58
476	476	LIV005	livree	2025-02-21 19:18:47	2025-02-21 19:31:47
477	477	LIV003	livree	2025-02-21 19:16:23	2025-02-21 19:27:23
479	479	LIV004	livree	2025-02-21 23:13:38	2025-02-21 23:27:38
480	480	LIV005	livree	2025-02-22 00:25:24	2025-02-22 00:35:24
481	481	LIV002	livree	2025-02-22 06:59:52	2025-02-22 07:09:52
486	486	LIV006	livree	2025-02-22 13:07:26	2025-02-22 13:19:26
487	487	LIV001	livree	2025-02-22 13:15:52	2025-02-22 13:29:52
490	490	LIV003	livree	2025-02-22 20:39:02	2025-02-22 20:56:02
493	493	LIV004	livree	2025-02-23 01:29:43	2025-02-23 01:47:43
496	496	LIV004	livree	2025-02-23 02:48:59	2025-02-23 03:00:59
498	498	LIV001	livree	2025-02-23 04:41:15	2025-02-23 04:50:15
500	500	LIV002	livree	2025-02-23 05:01:06	2025-02-23 05:10:06
501	501	LIV005	livree	2025-02-23 06:53:15	2025-02-23 07:05:15
502	502	LIV002	livree	2025-02-23 07:24:33	2025-02-23 07:32:33
505	505	LIV005	livree	2025-02-23 17:25:18	2025-02-23 17:40:18
507	507	LIV002	livree	2025-02-23 21:35:40	2025-02-23 21:50:40
512	512	LIV001	livree	2025-02-24 05:31:50	2025-02-24 05:45:50
514	514	LIV004	livree	2025-02-24 07:36:14	2025-02-24 07:54:14
516	516	LIV003	livree	2025-02-24 15:57:44	2025-02-24 16:10:44
517	517	LIV003	livree	2025-02-24 19:41:48	2025-02-24 19:57:48
518	518	LIV004	livree	2025-02-24 19:45:19	2025-02-24 20:02:19
519	519	LIV002	livree	2025-02-24 23:40:18	2025-02-24 23:52:18
525	525	LIV001	livree	2025-02-25 12:15:58	2025-02-25 12:28:58
526	526	LIV004	livree	2025-02-25 14:54:40	2025-02-25 15:06:40
532	532	LIV002	livree	2025-02-26 03:08:52	2025-02-26 03:21:52
533	533	LIV002	livree	2025-02-26 04:47:59	2025-02-26 05:00:59
535	535	LIV001	livree	2025-02-26 08:26:39	2025-02-26 08:38:39
537	537	LIV005	livree	2025-02-26 11:42:23	2025-02-26 12:00:23
538	538	LIV003	livree	2025-02-26 14:38:46	2025-02-26 14:49:46
539	539	LIV001	livree	2025-02-26 16:34:48	2025-02-26 16:52:48
542	542	LIV005	livree	2025-02-27 13:19:32	2025-02-27 13:33:32
544	544	LIV004	livree	2025-02-27 22:30:05	2025-02-27 22:47:05
547	547	LIV005	livree	2025-02-28 05:08:58	2025-02-28 05:16:58
